Fall,College,Degree,Major Name,Concentration Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
1981,Business,,Accountancy,,"1,433",816,617,3,"1,303",37,68,15,3,0,0,4,0,0,0,0,0,"1,401",32
1981,Business,,Accountancy,,172,109,63,0,118,9,1,0,1,0,0,43,0,0,0,0,0,108,64
1982,Business,,Accountancy,,"1,408",773,635,2,"1,279",30,70,21,2,0,0,4,0,0,0,0,0,"1,382",26
1982,Business,,Accountancy,,146,89,57,1,106,6,1,0,1,0,0,31,0,0,0,0,0,91,55
1983,Business,,Accountancy,,"1,392",703,689,4,"1,251",37,73,20,1,0,0,6,0,0,0,0,0,"1,361",31
1983,Business,,Accountancy,,137,88,49,0,100,5,2,0,0,0,0,30,0,0,0,0,0,81,56
2003,Business,,Accountancy,,859,447,412,18,552,141,31,36,2,0,0,79,0,0,0,0,0,711,148
2003,Business,,Accountancy,,20,12,8,3,6,3,1,0,0,0,0,7,0,0,0,0,0,5,15
2003,Business,,Accountancy,International Program,98,47,51,0,4,7,0,0,0,0,0,87,0,0,0,0,0,3,95
2003,Business,,Accountancy,Accountancy (BS/Master Prg),84,41,43,0,60,10,0,5,0,0,0,9,0,0,0,0,0,67,17
2003,Business,,Accountancy,Tax,54,22,32,0,40,8,0,2,0,0,0,4,0,0,0,0,0,48,6
2003,Business,,Accountancy,Accountancy Postb,33,22,11,0,24,2,0,5,0,0,0,2,0,0,0,0,0,31,2
2003,Business,,Accountancy,Accountancy (BS/Master Prg),83,39,44,1,57,19,3,1,0,0,0,2,0,0,0,0,0,77,6
1980,Business,,Accountancy,,"1,383",842,541,2,"1,268",36,62,9,3,0,0,3,0,0,0,0,0,"1,362",21
1980,Business,,Accountancy,,146,86,60,3,102,7,1,0,1,0,0,32,0,0,0,0,0,92,54
1984,Business,,Accountancy,,"1,207",578,629,11,"1,068",36,62,19,2,0,0,9,0,0,0,0,0,"1,180",27
1984,Business,,Accountancy,,108,70,38,1,76,6,2,0,0,0,0,23,0,0,0,0,0,65,43
1985,Business,,Accountancy,,"1,082",503,579,11,965,29,53,17,0,0,0,7,0,0,0,0,0,"1,054",28
1985,Business,,Accountancy,,130,83,47,5,85,11,6,0,0,0,0,23,0,0,0,0,0,87,43
1986,Business,,Accountancy,,942,435,507,8,820,31,58,19,0,0,0,6,0,0,0,0,0,915,27
